base_unit_cost,competitor_price_ratio,historical_demand_index,promotional_lift_pct,inventory_coverage_days,macro_seasonality_factor,will_convert_purchase
52.451,1.078,549.517,0.0,54,1.11,1
42.926,1.114,377.898,0.221,17,0.96,0
54.715,1.083,445.148,0.135,19,0.75,0
67.845,1.242,575.641,0.09,53,1.061,1
41.488,0.907,578.217,0.189,47,1.11,0
41.488,0.948,700.545,0.242,60,1.145,1
68.688,0.934,487.662,0.0,30,1.07,1
56.512,1.175,545.968,0.155,24,0.946,0
37.958,1.185,434.339,0.006,23,1.199,0
53.138,1.118,527.298,0.16,44,1.013,1
38.049,1.228,565.923,0.13,19,0.907,0
38.014,0.873,485.254,0.171,7,0.964,0
48.629,1.3,229.437,0.08,20,0.651,1
16.301,1.278,549.721,0.0,19,0.964,0
19.126,1.16,554.684,0.084,6,1.138,0
36.566,1.317,397.974,0.153,56,1.068,0
29.808,0.802,307.342,0.201,9,1.304,0
49.714,0.971,721.382,0.026,27,0.947,1
31.38,0.94,573.717,0.202,39,1.097,0
23.815,1.158,465.638,0.068,42,1.159,0
66.985,0.892,329.445,0.149,42,1.469,0
41.613,1.164,376.728,0.079,45,1.029,1
46.013,1.256,695.389,0.135,11,0.791,0
23.629,1.154,520.649,0.191,21,1.17,0
36.834,1.093,417.412,0.022,53,1.373,1
46.664,0.902,576.453,0.066,11,0.935,1
27.735,0.923,377.84,0.135,25,1.168,0
50.635,1.237,725.126,0.312,33,1.246,0
35.99,1.167,702.92,0.051,34,1.203,0
40.625,1.044,430.014,0.283,54,1.025,0
35.974,0.987,405.699,0.28,33,0.86,0
72.784,0.746,107.28,0.112,19,0.984,0
44.798,0.889,277.763,0.096,50,1.092,0
29.134,1.337,299.08,0.065,41,1.182,0
57.338,0.858,520.279,0.115,60,1.067,1
26.687,1.078,451.065,0.007,24,0.924,1
48.133,1.201,298.2,0.114,37,1.111,0
15.605,0.862,457.825,0.24,32,1.172,0
25.077,1.078,575.801,0.071,55,1.076,1
47.953,1.191,579.176,0.101,53,0.833,1
56.077,1.052,215.049,0.0,42,0.964,1
47.571,1.48,480.76,0.15,39,1.19,0
43.265,0.8,292.499,0.141,28,0.723,1
40.483,1.209,635.259,0.125,60,0.581,1
22.822,1.024,617.622,0.103,8,1.302,0
34.202,1.166,365.296,0.097,36,1.102,0
38.09,1.116,385.093,0.16,58,1.121,0
60.857,0.94,430.81,0.118,34,0.785,1
50.154,1.084,162.081,0.145,27,1.148,0
18.554,0.771,550.395,0.137,53,1.055,1
49.861,1.14,459.073,0.21,15,0.683,1
39.224,1.095,645.526,0.174,40,1.285,0
34.846,1.146,335.239,0.135,40,1.032,0
54.175,1.209,407.132,0.241,4,0.921,0
60.465,1.105,274.021,0.154,60,0.924,1
58.969,1.072,349.356,0.224,58,0.597,1
32.412,0.918,322.703,0.169,7,1.119,0
40.362,0.943,649.396,0.0,13,1.052,1
49.969,1.228,395.261,0.224,13,0.961,0
59.633,1.265,518.626,0.131,26,1.256,0
37.812,1.014,442.885,0.116,16,0.723,1
42.215,1.057,309.58,0.143,47,0.881,1
28.405,0.914,474.755,0.092,32,0.83,1
27.057,1.226,589.865,0.138,42,0.944,0
57.188,1.15,318.836,0.073,49,1.013,1
65.344,1.341,621.367,0.222,46,1.086,0
43.92,0.918,372.542,0.111,37,0.931,1
60.053,0.993,427.552,0.089,23,0.825,0
50.425,1.085,579.602,0.046,57,1.337,1
35.323,1.147,400.485,0.142,7,1.482,0
50.421,1.018,505.636,0.135,40,1.029,1
68.071,0.919,452.796,0.151,4,0.849,0
44.463,1.182,519.405,0.038,42,1.295,0
68.47,1.158,142.889,0.0,39,0.711,1
10.0,0.913,225.548,0.17,56,0.933,0
57.329,1.253,592.395,0.239,51,0.861,1
46.306,1.226,655.577,0.038,60,0.768,1
40.515,1.07,363.427,0.247,36,0.944,0
46.376,1.062,463.396,0.143,13,0.827,0
15.186,1.133,544.208,0.119,38,1.003,1
41.705,0.921,603.983,0.088,13,1.005,1
50.357,1.055,195.848,0.009,11,0.876,0
67.168,0.727,367.094,0.199,8,0.926,0
37.226,1.181,450.113,0.058,58,0.954,1
32.873,0.816,605.471,0.058,36,1.162,0
37.474,1.276,874.765,0.199,60,0.97,1
58.731,1.0,465.799,0.0,49,1.165,1
49.931,1.018,288.953,0.0,39,1.117,1
37.054,0.956,560.34,0.119,34,1.114,0
52.699,1.007,698.149,0.143,14,1.278,0
46.456,1.263,516.202,0.159,47,0.776,1
59.53,0.677,364.003,0.096,34,0.905,1
34.469,1.242,643.699,0.322,19,1.353,0
40.085,1.101,599.532,0.102,6,0.949,1
39.118,0.869,346.088,0.102,44,0.5,1
23.047,0.889,557.214,0.056,35,0.959,1
49.442,1.301,649.59,0.13,45,1.027,0
48.916,0.908,677.284,0.169,50,0.5,1
45.077,0.877,490.033,0.216,45,1.267,0
41.481,1.221,446.288,0.001,11,0.857,1
23.769,1.101,684.091,0.1,36,1.066,1
38.69,0.909,318.476,0.156,41,0.955,0
39.859,1.082,565.787,0.167,53,0.742,1
32.966,0.896,294.496,0.121,32,0.786,1
42.581,1.215,659.806,0.163,52,0.813,1
51.061,1.209,461.293,0.055,22,1.217,0
73.293,1.13,690.287,0.245,41,0.97,1
47.619,1.104,573.712,0.199,25,0.896,0
48.863,1.314,316.517,0.012,43,0.813,1
43.883,1.05,713.694,0.034,46,1.239,1
16.218,0.873,732.687,0.036,37,1.293,1
44.602,1.117,632.343,0.174,25,1.237,1
45.903,1.363,385.762,0.017,56,1.098,1
81.949,0.898,454.098,0.094,60,1.058,1
42.115,0.996,521.814,0.156,50,0.757,1
49.523,1.112,394.443,0.115,41,0.951,0
44.479,1.042,753.852,0.141,25,0.863,1
27.47,0.903,521.649,0.035,60,0.635,1
62.142,1.218,94.498,0.168,39,1.211,0
56.279,1.398,550.903,0.071,59,0.861,1
56.865,1.079,447.776,0.094,25,1.239,0
31.359,0.914,488.761,0.139,41,1.176,0
66.042,0.818,444.707,0.128,30,1.111,0
23.972,1.089,621.057,0.122,21,1.123,0
53.803,1.216,667.953,0.06,51,0.877,1
77.857,1.121,542.458,0.096,50,1.372,0
30.142,1.05,449.103,0.12,32,1.009,0
36.506,0.962,493.799,0.01,23,1.06,1
46.495,0.886,502.94,0.083,26,0.87,1
37.448,1.175,379.635,0.151,23,0.814,0
21.74,1.187,586.839,0.018,28,1.095,0
46.028,0.818,569.006,0.213,53,1.044,1
29.065,1.288,731.066,0.222,59,0.842,1
52.104,1.136,688.302,0.02,52,0.712,1
31.209,1.26,397.149,0.229,53,0.746,0
68.249,0.849,623.045,0.109,38,1.239,1
33.251,0.845,357.357,0.153,28,0.877,0
40.169,1.028,604.39,0.08,35,0.932,1
57.203,1.125,422.508,0.194,38,1.29,0
26.537,1.319,346.512,0.152,6,0.776,0
48.412,1.156,542.007,0.055,11,0.855,1
64.607,1.014,98.815,0.027,10,0.846,0
20.888,0.896,237.354,0.003,4,1.324,0
47.77,1.235,473.376,0.135,31,1.399,0
48.898,0.905,512.366,0.166,25,1.15,0
56.727,1.294,444.602,0.172,8,1.157,0
26.446,1.007,263.085,0.111,57,0.884,1
25.193,1.289,377.316,0.027,45,1.389,0
52.829,1.152,558.681,0.065,38,1.054,1
49.455,1.029,587.267,0.212,48,1.171,0
48.757,0.972,497.567,0.081,23,0.979,1
50.197,0.999,673.525,0.131,24,0.946,1
34.8,1.114,559.61,0.034,11,1.333,0
48.484,1.062,387.882,0.147,36,1.108,0
49.396,0.961,457.925,0.083,59,1.29,0
34.285,1.025,289.57,0.204,28,1.051,0
72.987,1.062,483.779,0.182,3,0.83,0
52.107,0.731,666.815,0.08,38,0.883,1
27.13,1.119,602.794,0.11,46,1.021,1
54.848,0.903,710.301,0.076,7,0.875,1
30.38,0.877,454.567,0.006,43,0.779,1
56.806,0.797,701.915,0.051,24,1.24,1
62.379,0.781,471.004,0.136,6,0.891,0
32.69,0.847,720.738,0.146,50,1.028,1
59.451,0.944,496.721,0.132,4,1.059,0
51.192,1.343,606.085,0.096,18,0.882,0
57.331,0.971,721.267,0.195,18,1.29,0
